,Date,Map Name,Map Number,Map Type,Match Id,Team A,Team B,Winner
1,2018-01-26,Horizon Lunar Colony,2,Assault,2422,HOU,FLA,Team A
2,2018-01-26,Ilios,3,KOTH,2422,HOU,FLA,Team A
3,2018-01-26,Junkertown,4,Escort,2422,HOU,FLA,Team A
0,2018-01-26,Numbani,1,Hybrid,2421,PHI,NYE,Team B
1,2018-01-26,Temple of Anubis,2,Assault,2421,PHI,NYE,Team A
2,2018-01-26,Ilios,3,KOTH,2421,PHI,NYE,Team B
3,2018-01-26,Dorado,4,Escort,2421,PHI,NYE,Team A
4,2018-01-26,Lijiang Tower,5,KOTH,2421,PHI,NYE,Team A
0,2018-01-25,Numbani,1,Hybrid,2420,BOS,LDN,Team B
1,2018-01-25,Temple of Anubis,2,Assault,2420,BOS,LDN,Team A
2,2018-01-25,Ilios,3,KOTH,2420,BOS,LDN,Team A
3,2018-01-25,Junkertown,4,Escort,2420,BOS,LDN,Team B
4,2018-01-25,Lijiang Tower,5,KOTH,2420,BOS,LDN,Team A
0,2018-01-25,Eichenwalde,1,Hybrid,2419,GLA,VAL,Team A
1,2018-01-25,Horizon Lunar Colony,2,Assault,2419,GLA,VAL,Team A
2,2018-01-25,Ilios,3,KOTH,2419,GLA,VAL,Team B
3,2018-01-25,Junkertown,4,Escort,2419,GLA,VAL,Team B
4,2018-01-25,Lijiang Tower,5,KOTH,2419,GLA,VAL,Team B
0,2018-01-25,Numbani,1,Hybrid,2418,SHD,SEO,Team B
1,2018-01-25,Temple of Anubis,2,Assault,2418,SHD,SEO,Team B
2,2018-01-25,Oasis,3,KOTH,2418,SHD,SEO,Team B
3,2018-01-25,Dorado,4,Escort,2418,SHD,SEO,Team A
0,2018-01-25,Eichenwalde,1,Hybrid,2417,SFS,LDN,Team B
1,2018-01-25,Horizon Lunar Colony,2,Assault,2417,SFS,LDN,Team B
2,2018-01-25,Oasis,3,KOTH,2417,SFS,LDN,Team A
3,2018-01-25,Junkertown,4,Escort,2417,SFS,LDN,Team B
0,2018-01-20,Dorado,1,Escort,2416,BOS,SFS,Team B
1,2018-01-20,Horizon Lunar Colony,2,Assault,2416,BOS,SFS,Team A
2,2018-01-20,Oasis,3,KOTH,2416,BOS,SFS,Team B
3,2018-01-20,Eichenwalde,4,Hybrid,2416,BOS,SFS,Team A
4,2018-01-20,Lijiang Tower,5,KOTH,2416,BOS,SFS,Team B
0,2018-01-20,Dorado,1,Escort,2415,GLA,NYE,Team B
1,2018-01-20,Horizon Lunar Colony,2,Assault,2415,GLA,NYE,Team B
2,2018-01-20,Oasis,3,KOTH,2415,GLA,NYE,Team B
3,2018-01-20,Eichenwalde,4,Hybrid,2415,GLA,NYE,Team B
0,2018-01-20,Dorado,1,Escort,2414,VAL,LDN,Team B
1,2018-01-20,Horizon Lunar Colony,2,Assault,2414,VAL,LDN,Team B
2,2018-01-20,Oasis,3,KOTH,2414,VAL,LDN,Team A
3,2018-01-20,Eichenwalde,4,Hybrid,2414,VAL,LDN,Team A
4,2018-01-20,Lijiang Tower,5,KOTH,2414,VAL,LDN,Team B
0,2018-01-20,Junkertown,1,Escort,2413,LDN,DAL,Team A
1,2018-01-20,Horizon Lunar Colony,2,Assault,2413,LDN,DAL,Team A
2,2018-01-20,Oasis,3,KOTH,2413,LDN,DAL,Team B
3,2018-01-20,Numbani,4,Hybrid,2413,LDN,DAL,Team A
0,2018-01-20,Dorado,1,Escort,2412,SHD,FLA,Team B
1,2018-01-20,Temple of Anubis,2,Assault,2412,SHD,FLA,Team B
2,2018-01-20,Ilios,3,KOTH,2412,SHD,FLA,Team B
